name,location,plz,city,rating_average,rating_count,operator
Mensa Martinsried ,Großhaderner Straße 6,82152,Planegg-Martinsried,"3,5",1.780,Studierendenwerk München Oberbayern
Mensa Arcisstraße ,Arcisstraße 17,80333,München,"3,6",7.401,Studierendenwerk München Oberbayern
StuBistro Schellingstraße ,Schellingstraße 3,80799,München,"3,5",575,Studierendenwerk München Oberbayern
StuBistro Oettingenstraße ,Oettingenstraße 67,80538,München,"4,1",187,Studierendenwerk München Oberbayern
StuBistro Goethestraße ,Goethestraße 70,80336,München,"3,8",91,Studierendenwerk München Oberbayern
StuBistro Butenandtstraße ,Butenandtstraße 13,81377,München,"3,6",1.297,Studierendenwerk München Oberbayern
StuBistro Garching ,Boltzmannstraße 19,85748,Garching,"3,5",151,Studierendenwerk München Oberbayern
Mensa Weihenstephan ,Maximus-von-Imhof-Forum 5,85354,Freising,"3,5",8.938,Studierendenwerk München Oberbayern
Südmensa ,Erwin-Rommel-Straße 60,91058,Erlangen,"3,4",2.559,Studierendenwerk Erlangen-Nürnberg
Mensa Langemarckplatz ,Langemarckplatz 4,91054,Erlangen,"3,6",3.162,Studierendenwerk Erlangen-Nürnberg
StuBistro Akademie ,Alte Akademie 1,85354,Freising,"3,2",467,Studierendenwerk München Oberbayern
StuBistro Boltzmannstraße 15 ,Boltzmannstraße 15,85748,Garching,"3,5",63,Studierendenwerk München Oberbayern
Mensa Garching ,Boltzmannstraße 19,85748,Garching,"3,6",8.651,Studierendenwerk München Oberbayern
StuBistro Adalbertstraße ,Adalbertstraße 5,80799,München,"3,4",591,Studierendenwerk München Oberbayern
Mensa Leopoldstraße ,Leopoldstraße 13a,80802,München,"3,5",9.450,Studierendenwerk München Oberbayern
StuCafé Lothstraße ,Lothstraße 64,80335,München,,,Studierendenwerk München Oberbayern
StuBistro Karlstraße ,Karlstraße 6,80333,München,"2,9",97,Studierendenwerk München Oberbayern
Mensa Pasing ,Am Stadtpark 20,81243,München,"3,3",740,Studierendenwerk München Oberbayern
Mensa Lothstraße ,Lothstraße 13d,80335,München,"3,3",4.991,Studierendenwerk München Oberbayern
StuBistro Arcisstraße ,Arcisstraße 12,80333,München,"3,0",40,Studierendenwerk München Oberbayern
StuBistro Akademiestraße ,Akademiestraße 2,80799,München,"2,9",90,Studierendenwerk München Oberbayern
Cafeteria Veilhofstraße ,Veilhofstraße 34-40,90489,Nürnberg,"3,1",26,Studierendenwerk Erlangen-Nürnberg
Mensa Regensburger Straße ,Regensburger Straße 160,90478,Nürnberg,"3,6",349,Studierendenwerk Erlangen-Nürnberg
Mensa Insel Schütt ,Andreij-Sacharow-Platz 1,90403,Nürnberg,"3,3",883,Studierendenwerk Erlangen-Nürnberg
Ausgabemensa St. Paul ,Dutzendteichstraße 24,90478,Nürnberg,"4,0",47,Studierendenwerk Erlangen-Nürnberg
Cafeteria Bärenschanzstraße ,Bärenschanzstraße 4,90429,Nürnberg,"3,0",36,Studierendenwerk Erlangen-Nürnberg
Cafeteria Bingstraße ,Bingstraße 60,90480,Nürnberg,,,Studierendenwerk Erlangen-Nürnberg
Cafeteria Sport ,Universitätsstraße 31,93053,Regensburg,"3,8",56,Studentenwerk Niederbayern/Oberpfalz
Cafeteria PT ,Universitätsstraße 31,93053,Regensburg,"3,5",163,Studentenwerk Niederbayern/Oberpfalz
Cafeteria Chemie ,Universitätsstraße 31,93053,Regensburg,"3,6",407,Studentenwerk Niederbayern/Oberpfalz
Mensa OTH Regensburg (abends) ,Seybothstraße 2,93053,Regensburg,"3,5",796,Studentenwerk Niederbayern/Oberpfalz
Mensa OTH Regensburg ,Seybothstraße 2,93053,Regensburg,"3,5",21.981,Studentenwerk Niederbayern/Oberpfalz
Cafeteria Prüfeninger Straße ,Prüfeninger Straße 58,93049,Regensburg,"3,1",1.002,Studentenwerk Niederbayern/Oberpfalz
Mensa Eichstätt ,Universitätsallee 2,85072,Eichstätt,"3,7",2.035,Studierendenwerk Erlangen-Nürnberg
Mensa Deggendorf ,Edlmairstraße 6,94469,Deggendorf,"3,4",1.991,Studentenwerk Niederbayern/Oberpfalz
StuBistro Burghausen ,Marktler Straße 50,84489,Burghausen,"3,8",42,Studierendenwerk München Oberbayern
Mensa Aschaffenburg ,Würzburger Straße 45,63743,Aschaffenburg,"3,5",1.276,Studierendenwerk Würzburg
Mensa Ansbach ,Residenzstraße 8,91522,Ansbach,"3,5",1.896,Studierendenwerk Erlangen-Nürnberg
Mensa Amberg ,Kaiser-Wilhelm-Ring 23,92224,Amberg,"3,7",690,Studierendenwerk Oberfranken
Mensa Marchstraße ,Marchstraße 23,10587,Berlin,"3,5",62,Studierendenwerk Berlin
Mensa Hardenbergstraße ,Hardenbergstraße 34,10623,Berlin,"3,4",1.274,Studierendenwerk Berlin
Mensa Karlshorst ,Köpenicker Allee 39-57,10318,Berlin,,,Studierendenwerk Berlin
Mensa Weißensee ,Bühringstraße 20,13086,Berlin,"3,7",47,Studierendenwerk Berlin
Mensa Badensche Straße ,Badensche Straße 50-51,10825,Berlin,"3,5",243,Studierendenwerk Berlin
Mensa Oase Adlershof ,Rudower Chaussee 25,12489,Berlin,"3,5",581,Studierendenwerk Berlin
Mensa HU Süd ,Unter den Linden 6,10117,Berlin,"3,5",1.243,Studierendenwerk Berlin
Mensa HU Nord ,Hannoversche Straße 7,10115,Berlin,"3,7",1.592,Studierendenwerk Berlin
Mensa Wilhelminenhof ,Wilhelminenhofstraße 75a,12459,Berlin,"3,3",763,Studierendenwerk Berlin
Mensa Campus Friedrich Streib ,Friedrich-Streib-Straße 2,96450,Coburg,"3,6",5.889,Studierendenwerk Oberfranken
Mensa Campus Design ,Am Hofbräuhaus 1,96450,Coburg,"3,2",1.860,Studierendenwerk Oberfranken
Mensa Nürnberger Straße ,Nürnberger Straße 38,95448,Bayreuth,,,Studierendenwerk Oberfranken
Mensa Feldkirchenstraße ,Feldkirchenstraße 21,96052,Bamberg,"3,3",4.048,Studierendenwerk Würzburg
Mensa Universität ,Universitätsstraße 4,86159,Augsburg,"3,5",1.969,Studentenwerk Augsburg
Mensa Hochschule ,Friedberger Straße 2,86161,Augsburg,"3,7",1.837,Studentenwerk Augsburg
Cafeteria am Brunnenlech ,An der Hochschule 1,86161,Augsburg,"3,3",819,Studentenwerk Augsburg
Mensa Austraße ,Austraße 37,96047,Bamberg,"3,4",2.390,Studierendenwerk Würzburg
Mensa Geschwister-Scholl-Platz ,Geschwister-Scholl-Platz,95445,Bayreuth,"3,6",226,Studierendenwerk Oberfranken
Hauptmensa ,Universitätsstraße 30,95447,Bayreuth,"3,6",17.172,Studierendenwerk Oberfranken
Frischraum ,Universitätsstraße 30,95447,Bayreuth,"3,6",10.867,Studierendenwerk Oberfranken
Mensa Treskowallee ,Treskowallee 8,10318,Berlin,"3,4",413,Studierendenwerk Berlin
Mensa HfS Ernst Busch ,Zinnowitzer Straße 11,10115,Berlin,,,Studierendenwerk Berlin
Mensa Charlottenstraße ,Charlottenstraße 55,10117,Berlin,"3,5",101,Studierendenwerk Berlin
Veggie No. 1 ,Van't-Hoff-Straße 6,14195,Berlin,"3,2",607,Studierendenwerk Berlin
Mensa Otto-von-Simson-Straße ,Otto-von-Simson-Straße 26,14195,Berlin,"3,4",2.182,Studierendenwerk Berlin
Mensa Lankwitz ,Malteserstraße 74,12249,Berlin,"4,2",413,Studierendenwerk Berlin
Mensa Koserstraße ,Koserstraße 20,14195,Berlin,"3,0",34,Studierendenwerk Berlin
Mensa FU Pharmazie ,Königin-Luise-Straße 2,14195,Berlin,"3,2",133,Studierendenwerk Berlin
Mensa Düppel ,Oertzenweg 19b,14163,Berlin,"2,6",87,Studierendenwerk Berlin
Mensa Charité Zahnklinik ,Aßmannshauser Straße 2-6,14197,Berlin,"3,2",99,Studierendenwerk Berlin
